id,text,author,likes,timestamp,is_reply,parent_id
UgxmDiNv0KmENij3AlJ4AaABAg,Chai is served with a French toast now!,@MusaddiqAkhtar,1800,1746835200,False,
Ugy1g4-3OOh3qOyq8e94AaABAg,"We Turks are with our Pakistani brothers to the very end inshaAllah. There is always a special bond between us, and I'm sure this goes both ways.

May Allah grant victory to the believers against the oppression of disbelief.",@mahometusonline,1500,1746835200,False,
UgzXnDHypJxRFno4cml4AaABAg,We the Lebanese people know and understand how important it is to support our brothers and sisters in Pakistan and understand how important a strong Pakistan is for our umma,@omarsabra60,1400,1746921600,False,
UgyvW_XRL5dBaX5GspZ4AaABAg,I am praying for my Pakistani brothers and sisters.... Love from Bangladesh...,@Abdullahakashkhan01,1400,1746835200,False,
UgyE9p6pvpmrsBHMSH14AaABAg,"Proud of our brothers in Pakistan Air Defence, love from Algeria",@AbdallahAbbes-j6l,1200,1746835200,False,
UgxclOoTqG4XK-3hUol4AaABAg,"Pakistan: 5
India: 0
A score like this in the World Cup would be considered a humiliating slaughter.
Muslim Arab-American from Chicago here.
May Allah swt unite all the Muslims around the world....ameen 🙏❤",@pookiepook7351,795,1746835200,False,
Ugwe8D-Sk8AVrqj4uV14AaABAg,It's not Rafale fault it's because India was running then on Cow Dunk 😂,@absiddique139,765,1746835200,False,
UgzehtoReciasoiEdyN4AaABAg,"Pakistan Jindabat ❣️ 
Love from Bangladesh 🇧🇩",@LubnaJahan-j1y,735,1746835200,False,
UgwPJWSgl9Z1DO0rYjJ4AaABAg,"Respect to our pakistani brothers from Algeria , proud of you, do not devide , stay united , protect your land , do not trangress , dont fall into sceams , stay united , stay united for the sake of allah",@YonkoDarx,709,1746921600,False,
UgyE54Qamlytzr3-NQN4AaABAg,"95% Bangladeshi support Pakistan. If Pakistan strong, Bangladesh also strong",@helaluddin-gt3sx,659,1746921600,False,
UgycJRQ1kbKgOmE4BEt4AaABAg,As a MUSLIM from TUNISIA 🇹🇳 am so proud of PAKISTAN 🇵🇰,@aboulkacemahmed5330,513,1746921600,False,
UgzU6HNhRg9cs_bdq9Z4AaABAg,"Proud of our brothers in Pakistan Air Defence, love from Tunisia",@baloukafou2962,445,1746921600,False,
Ugz0stZ-SMjGu4GFQ3N4AaABAg,u can never change a pajeets mentality,@SaroshHaq,433,1746835200,False,
UgxU4YBMlLWJpbW4Fj94AaABAg,It was a known fact Pakistani pilots were better trained despite Indian having a larger air force and skills gave Pakistan the edge.,@theancientsancients1769,430,1746921600,False,
UgysBnhONxge8_p1aJt4AaABAg,Pakistan Zindabad!!,@ahmedhaidrali1,416,1746835200,False,
UgwU_J6P2zvIb4odgJl4AaABAg,So proud of my brothers and sisters in Pakistan 🇵🇰  💪💪💪💪💪from Horn of Africa,@MohamedAli-so7zn,391,1746921600,False,
UgxmDiNv0KmENij3AlJ4AaABAg.AHuZ05_doE5AHu_opxw_JQ,"haha yes, good one",@smiletojannah,356,1746835200,True,UgxmDiNv0KmENij3AlJ4AaABAg
UgyMpVbFjlOb2zJZD014AaABAg,Salaam to our pakistani brothers from Iraq,@ramyb4262,356,1746921600,False,
UgxuMEDwTBRpY7VRfep4AaABAg,From Morocco 🇲🇦 Free our Muslim Brothers and sisters in Kashmir and India 🤲🏼🤲🏼 they are in our hearts like the Palestinians!! Ya Allah help your Ummah ❤️,@Rachid-cg2qy,354,1746921600,False,
UgyHB4AuA88RRaWaXxF4AaABAg,"Man, this really blows to India and Europe weapon manufacture, huh 😂😂😂 the fact that even I knew china's equipment is, sometime bad  but this turn around is quite refreshing considering India's transgressions on Pakistan. May Allah keep our brothers and sisters in Pakistan and Palestine safe and steadfast as always. Amin Ya Rabb",@Bruddatab,346,1746835200,False,
Ugyx_Fo1pOquvsXu2Lp4AaABAg,100% support to our Pakistani brothers from Nigeria,@khalidsalehibrahim2701,323,1746921600,False,
UgxEruyp2wffg5s1_jl4AaABAg,"Thanks to our brother nations for supporting us, specially Turkey, China, Bangladesh, Arab brothers and African brothers, thanks to all of Muslims across the world. 🇵🇰🇵🇸Zindabad",@farazaltaf1421,310,1746921600,False,
UgxljzJ7I_bxwIXo_rJ4AaABAg,In Sha Allah Pakistan 🇵🇰 Economy Will Rise By The Coming Years,@rajuballyyassin40,295,1746835200,False,
UgzJEVAAiSdzkUdUAbh4AaABAg,"India might have a quantitative advantage but Pakistan definitely has a qualitative upper hand. Pakistani pilots are trained to handle a 3:1 combat scenario. PAF places strong emphasis on aggressive maneuvering, situational awareness, quick decision-making, and tactical superiority, even when outnumbered. This is part of their combat doctrine and training ethos.",@mohammedalikhan6381,274,1746835200,False,
UgyS4v2C3SldJB-Rlbh4AaABAg,"""oh me ,nah im just admiring a peacful comment section without hostile hindus""",@sohaibahmed9053,262,1746835200,False,
UgwDZ1aqAPV9BurjzFN4AaABAg,PAKISTAN ZINDABAD!🇵🇰 Love from 🇲🇾,@zahidkerb5370,258,1746921600,False,
Ugz9NBEowkGyybAOC5l4AaABAg,Made in China 🇨🇳 love from Pakistan 🇵🇰,@omarahmad7890,256,1746835200,False,
UgxudcNi46_knBNnFV14AaABAg,Love for Pakistan from Finland 🇵🇰,@AMuslimahInFinland,251,1746921600,False,
UgztDss1DTb9rhTqlyV4AaABAg,"During the Arab war with Israel in 1970's, a handful of Pakistani pilots were using Syrian Russian jets and shot down few Israeli jets. The Israelis were saying it's the Pakistani pilots who have shot our jets. Those Pakistani pilots who had taken part have told their stories about this",@maz727,247,1746921600,False,
UgwO6NMg5ZVJjjuIZad4AaABAg,"Pakistan has the best pilots in the world, this is an indisputable fact. India, despite having a larger and more advanced military, can never get the edge on Pakistan because of this reason. Love for my Pakistani brothers from Iran 🇮🇷🇵🇰",@Popo-hi7or,245,1746921600,False,
Ugxo2ZLAI8JAnKHL5QV4AaABAg,"""Indeed, to Allah we belong, and to Him we shall return""So it means we fear no one but Allah.",@zBibi-g3r,217,1746835200,False,
UgzdZMSA0YMUMcuhfKx4AaABAg,Long live Islam.. Pakistani Zindabad,@aryanaryan5412,213,1746835200,False,
UgxnQRNBDG-ikGIUavR4AaABAg,Support me on Patreon: https://www.patreon.com/smile2jannah,@smiletojannah,201,1746835200,False,
Ugy8O8h7uZmcnA7Quu14AaABAg,"Unfortunately it is very very difficult to find Pakistani channels that spread trustworthy information in English, instead of that there are so many Indian channels spreading their propaganda in English",@THANKS_TO_ALLAH,180,1746835200,False,
