id,text,author,likes,timestamp,is_reply,parent_id
UgwcVO8cOipkhpGHZGN4AaABAg,Ireland loves you mr smile 2 jannah :),@Freezeeny,544,1745884800,False,
UgwhWMkZfRbFQq_vdJx4AaABAg,"He’s a legend on the pitch, a legend on the BBC, and above all, a legend as a human being. Thank you Gary",@riupalace6983,355,1745884800,False,
Ugx_ZGK0yNr6Qi9LbDp4AaABAg,Gary gets it,@CineRanter,218,1745884800,False,
Ugx2sE3rbw35tujfTbB4AaABAg,What has the world come to. A white man speaking for the non whites and a brown man speaking for them! One is motivated by compassion for humankind and the other is motivated by money?,@nbktube1171,155,1745884800,False,
UgxjFCRw1-4yC96s44B4AaABAg,"🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
Free Palestine, free Syria, free Lebanon, free Yemen, free Sudan, free Kongo!!!!!!
Protecting opressed people is our mandatory dear Muslims!!!!",@Moonlight-777,146,1745884800,False,
UgwyoXe6Ztjs1cMc-7x4AaABAg,Respect for Gary🇵🇸✌️,@monimojumdar6228,133,1745884800,False,
UgwVuJqz_hKy7NWuaM54AaABAg,Don't pay TV licence. Boycott BBC,@yp5093,90,1745884800,False,
UgwjTEOMiYaGdJnCOwl4AaABAg,I’m pleased to see Gary stating facts.  Good job 🙂,@sabiahamid6224,89,1745884800,False,
UgyvfZWULemEYFtTTSl4AaABAg,Offended by everything ashamed of nothing 💀 They all are hypocrites,@SamadPathan_2.0,81,1745884800,False,
UgyKUrar-tdy9XPyITB4AaABAg,Salute to Gary 🫡,@nabeelhussain2464,68,1745884800,False,
UgwcVO8cOipkhpGHZGN4AaABAg.AHGSrn-lI-wAHGV0n7edVe,Big up Ireland 🇮🇪,@Sad1que,57,1745884800,True,UgwcVO8cOipkhpGHZGN4AaABAg
UgyXKf_RDWtOEqIzUxl4AaABAg,"An Indian probably a bjp supporting Hindu would be very happy deep down at what is happening to Palestine.

Just look at their history in Kashmir.",@GorillazINmist,57,1745884800,False,
UgwsufA_QA_xH98mE8h4AaABAg,I used to think Gary was the type of guy who says things that will just please people. I was wrong. Nice that he sees things as they are and says things as they are.,@roosworld4910,54,1745884800,False,
UgwcVO8cOipkhpGHZGN4AaABAg.AHGSrn-lI-wAHGb2zSIj9s,"Muslims all over the world love you, Ireland.
Thank you so much for standing up for us.
🇮🇪🫂🇵🇸",@Whysoseriousbatsy,54,1745884800,True,UgwcVO8cOipkhpGHZGN4AaABAg
Ugw466OIQqGQqSw2hvN4AaABAg,"Lineker scored one of the most wonderful  goal in his life, to be honest and trustful.",@JohnHammer-80,54,1745884800,False,
UgyUCz1VU0CBKtdJs0B4AaABAg,Gary linkers a legend,@ihsanulhaq8851,53,1745884800,False,
