id,text,author,likes,timestamp,is_reply,parent_id
UgxABphux3mgSC4fkUF4AaABAg,"Indian news is pure comedy, i can't get my head around it.
'Love jihad ' to now 'juice jihad.' These extremist hindus have lost their mind.",@abayomrunkojemusa9086,671,1746489600,False,
UgwkDKi4oh8QdEe0f-h4AaABAg,I don’t understand why do lindus think they are a competition for us when their real competition like Greek mythologies and such are well beyond extinct,@chaneladriana6829,401,1746489600,False,
UgwsC1uaNm4xNwstf9h4AaABAg,May Allah protect our brothers and sisters in occupied Kashmir and Palestine Ya Rabb….,@mahumramzan5690,355,1746489600,False,
UgwerrBVDDp6pZMIYAZ4AaABAg,I’m Kashmiri 🍁. And we stand against the oppression of Indian government,@musanifmajid3893,326,1746489600,False,
UgwHeUllVYXo5tJ-_Gx4AaABAg,May Allah Subhanahu wa-Ta'ala make Islam Victorious in the  entire region!,@MuhammadYahyaK,193,1746489600,False,
UgyXpV80YPK2SpkFOa94AaABAg,They banned  also mufti tariq masood,@leo80639,142,1746489600,False,
Ugz0YpGtpPTqUaI2-uR4AaABAg,Love From Illegally Indian occupied Kashmir to All the Muslim Ummah Especially Pakistani Brothers and sisters,@MuslimUmmah314,135,1746489600,False,
UgyuI-977VQcIvkIzmx4AaABAg,"Same thing happened in 2019 with Pulwama, same script was repeated in Pahalgam. They're scared if they ""explore"" too much with their response Pakistan will do something and that something will turn into a huge huge problem for Modi.",@AnasKhan-ni9xx,117,1746489600,False,
Ugy1U6Dm7FrOKtPfs6p4AaABAg,I m from India & i agree with u brother ❤😂 may Allah bless uh,@Varisha_mansoor,112,1746489600,False,
UgyVnRlz3CftR9yyGVp4AaABAg,"too late damage has done, Hindutva Ideology is sickening, countdown has started no future for india. Good luck Pakistan 🇵🇰 InshAllah",@sajjadkhan9710,109,1746489600,False,
UgwMblmZbsitT3Z4LMJ4AaABAg,"""You will most certainly find that those who have the most hatred towards you (Muslims) will be the Jews and the shirks (stone worshippers)"" 
- Quran (al Ma'idah, verse 82)

Beautiful prophecy by the Quran.",@LWisMakhachevNhisUFCsons,97,1746489600,False,
UgzDBHn8Miab16ih5h14AaABAg,Juice jihad. Oh man. Lindutvas are a valuable source of comedy 😂🤣.,@ice-cream313,96,1746489600,False,
UgxW8C5-pNx7BJpshOR4AaABAg,It's not about India vs Pakistan anymore it's now Hindu vs Muslim..,@Yusuf-y1m8y,95,1746489600,False,
UgyhpCzhCydVrXpZLIh4AaABAg,They banned Nouman Ali Khans Bayyinah TV channel too,@nissar-ali,92,1746489600,False,
UgwaZpG3zTZPMnM7Wtd4AaABAg,"If they were smart, they would tread carefully. All their neighbors  hate them. They are heading for disaster.",@shahid8545,86,1746489600,False,
UgxABphux3mgSC4fkUF4AaABAg.AHdSmrILFtuAHdXbQd18ki,Bold to assume they had one in the first place.,@Nomad-sp6kq,52,1746489600,True,UgxABphux3mgSC4fkUF4AaABAg
UgxeMSUjC6G8npDmwud4AaABAg,"India as a whole is a drama silsila series .. ""kasauti"" 😂😂😂",@theblackdoomsday,52,1746489600,False,
UgwmLKeMS5tj-xlMPrJ4AaABAg,Linduness is a joke that overstayed its welcome,@chaneladriana6829,51,1746489600,False,
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdZmZHUNk2,"First of all. Is there unity in the ummah? Yes there is, but more is desirable.
Secondly, Are Greek and Hindu mythologies celebrated world wide? Just to their respective nations. A bit more to the Greek one cuz there a bit more fun fictional creatures. So creativity goes to Greek there.",@DAANSlayerYT,47,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdcjbZEYfm,​ @SaiMaharaj-vp4yq I mean u are just spouting whatever u can. Like what does Gulf Arab have anything to do with Pakistan.,@saadyousuf6015,46,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgzZtEI_fsagVnLk1S94AaABAg,Lindu is like a big bowl of nothing,@chaneladriana6829,41,1746489600,False,
UgzHpdcQKMqplCwhNdd4AaABAg,"Modi taking notes from Hannibal Directive. Even Ukraine likely bombed the Chreynobl dome and blamed Russia, right when Russia and Trump were talking peace in Feb.",@MohammedAli-xv6es,41,1746489600,False,
UgxW8C5-pNx7BJpshOR4AaABAg.AHdl9IX1qI7AHe2kaq0iHQ,"​@GR_Y7 
It really true tho...
1.) Indian Muslims are being bullied and discriminated against all over India now.

2.) Even the Sikh population has refused to fight against Pakistan.

3.) South India is already embarrassed of north Indian actions.

India is isolated in its own country try, whereas Pakistanis have never been more united before",@shafboy,35,1746489600,True,UgxW8C5-pNx7BJpshOR4AaABAg
UgzmKp6cPGBXcIUNj9d4AaABAg,Juice jihad 😂😂😂😂😂😂,@sadiqugas8736,33,1746489600,False,
UgxABphux3mgSC4fkUF4AaABAg.AHdSmrILFtuAHdbr4l8AUj,Game jihad😂,@saadyousuf6015,31,1746489600,True,UgxABphux3mgSC4fkUF4AaABAg
Ugws8fm6nQj1-GcCwiZ4AaABAg,We can't expect much from a group of people where cows are protected more than humans and worship it ffs. That's Lindus in a nutshell. They loves Israelis and Israelis loves their beef steak to be prepared Medium-rare 😂😂😂😂😂,@Ayah_Mia,30,1746489600,False,
UgxABphux3mgSC4fkUF4AaABAg.AHdSmrILFtuAHdqV7U6S9N,They scammed so much they scammed themselves.,@sheikmuhammad3894,29,1746489600,True,UgxABphux3mgSC4fkUF4AaABAg
UgyuI-977VQcIvkIzmx4AaABAg.AHdYVLE7EB7AHdmhLTLOqv, @SaiMaharaj-vp4yq  Gigachad? simp? go away meme boy!,@reomai9576,28,1746489600,True,UgyuI-977VQcIvkIzmx4AaABAg
UgzGBwUeZG8twEnxoOl4AaABAg,juice jihad LOLOL,@yasminchannelonly,22,1746489600,False,
UgydTomBKQQHLed7Eat4AaABAg,All they can do is blaming Pakistan and Bangladesh 😂😂😂😂,@nowshadkhan670,22,1746489600,False,
UgwerrBVDDp6pZMIYAZ4AaABAg.AHe3eajE3VnAHe5598jZti,May Allah grant Kashmir victory 🤲🏻,@homtanks7259,21,1746489600,True,UgwerrBVDDp6pZMIYAZ4AaABAg
Ugy_gCCFhLqwlmMez5R4AaABAg,"This just way too much comical, bruv 😂
Calling for ban for Roohafza 💀💀💀 I can't, bruh 💀💀💀

And they expect the world to take them seriously, what a joke.",@popkb,21,1746489600,False,
UgwaDnJr90wtTN_mq694AaABAg,The circus 🎪 that is the Indian media !!,,19,1746489600,False,
UgyuI-977VQcIvkIzmx4AaABAg.AHdYVLE7EB7AHe5EqvU4bi,​ @SaiMaharaj-vp4yq  saar israel women give me love you very much israel saar,@What_is_a_freaking_handle_bro,18,1746489600,True,UgyuI-977VQcIvkIzmx4AaABAg
Ugzx5KqyrfXqhmsitSh4AaABAg,3:21 Hijab Brothers entry 😂😂😂,@am89039,18,1746489600,False,
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdjU6iI0G9,"​ @SaiMaharaj-vp4yq  Hindus read their holy book every millennia or so, what's your point?",@Infinity_Plus_One,18,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgwmLKeMS5tj-xlMPrJ4AaABAg.AHdUQRvzDOeAHdoPlEsw5T,​ @ARVINDYADAV-es6qk Cond 🕉️ that's your crap,@matheenguy8850,18,1746489600,True,UgwmLKeMS5tj-xlMPrJ4AaABAg
UgxABphux3mgSC4fkUF4AaABAg.AHdSmrILFtuAHdvoumfSCO,too much liquor in system of lindoor😂,@Mohna-h7z,18,1746489600,True,UgxABphux3mgSC4fkUF4AaABAg
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdr4z74EWn,​ @SaiMaharaj-vp4yq This isn’t your religion where there is cast system. 😂 Everyone is equal in Islam,@enamulhaquejoy6962,17,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdwQrUEF_i,"​ @SaiMaharaj-vp4yq  imagine being proud after watching ur god in anime and cartoons.😂 they use greek and indian gods becuz they believe it's myth😂,",@zafar804,17,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
Ugxt5FXO4DKxp2GsH9Z4AaABAg,Israel has its claws in this.,@asifdutchmaster8705,17,1746489600,False,
UgzKM0KzcBbP33gRw1V4AaABAg,"Free Khasmir , Free Uyghur, Free Sudan , Free Palestine ❤❤❤",@JLOGIAC,15,1746489600,False,
UgxW8C5-pNx7BJpshOR4AaABAg.AHdl9IX1qI7AHe4r8h8sAm, @GR_Y7 thats how hindus have been thinking since modi in power. Its reality bro.,@wasif9817,15,1746489600,True,UgxW8C5-pNx7BJpshOR4AaABAg
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdmJRQxNT7," @SaiMaharaj-vp4yq  they also borrow from Greek mythology, Egyptian mythology. In fact figures like Zeus, Anubis, Poseidon are more popular.
But do u know the fact that these characters are used because they are ""mythologies and stories"" and not existing believes",@saadyousuf6015,14,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgwMblmZbsitT3Z4LMJ4AaABAg.AHdkiXSKX_kAHdnFohxxaP,"It's okay for India to be the grape capital​ of the world  @SaiMaharaj-vp4yq 
                 Quoted by Modi",@saadyousuf6015,14,1746489600,True,UgwMblmZbsitT3Z4LMJ4AaABAg
Ugxk3PxMpMze4OLVfT14AaABAg,"May Allah protect our brothers, sisters and families in Pakistan",@Nope777-20LR,14,1746489600,False,
UgxkeC0yemsRiU1_uMN4AaABAg,"""O believers! Do not associate closely with others who would not miss a chance to harm you. Their only desire is to see you suffer. Their prejudice has become evident from what they say—and what their hearts hide is far worse. We have made Our revelations clear to you, if only you understood.""

Quran 3:118",@Ibrahim_brx,13,1746489600,False,
UgwHeUllVYXo5tJ-_Gx4AaABAg.AHdYAJXSLJWAHdeKWEK5Ax,Ameen 🤲,@nazmunEva,13,1746489600,True,UgwHeUllVYXo5tJ-_Gx4AaABAg
UgyhpCzhCydVrXpZLIh4AaABAg.AHdSwi7z-7WAHdV1_VTam9,"So do I, and I am getting the message that government has banned the channel when I try to go to the channel page",@nissar-ali,13,1746489600,True,UgyhpCzhCydVrXpZLIh4AaABAg
UgyhpCzhCydVrXpZLIh4AaABAg.AHdSwi7z-7WAHdckuqetik,"Me too
Yes they banned this channel",@فىسبىيلالله-خ2ل,12,1746489600,True,UgyhpCzhCydVrXpZLIh4AaABAg
UgyhqjuuuCgJIn3jHCN4AaABAg,"Indian comedy media,brainwashed hindu😂😂",@Buterfly123-f5o,12,1746489600,False,
Ugxat8vX-y1Ld1JkS_x4AaABAg,Meem se Mohabbat trended in India. I made Modi loose his cool,@razgallie2386,12,1746489600,False,
UgyLQND2bloY3gqczMZ4AaABAg.AHdeA4oHHXDAHdlWnAOHZx,Coz it's occupied mate,@abu-ff8ws,12,1746489600,True,UgyLQND2bloY3gqczMZ4AaABAg
Ugy38uqLSRxjCY3lmsF4AaABAg,May Allah protect Pakistan from all evils,@GK-mo7lw,12,1746489600,False,
Ugy68JaBnozx1P65SgF4AaABAg,Who needs brainrot when you have Indian media 😂,@rustydreams5411,11,1746489600,False,
Ugw1WGR4T6KcWS4qytt4AaABAg,And some people still watching them by using VPN 😂🤦🏻 .,@reyansk709,11,1746489600,False,
UgxlLJoagMHyjh07onB4AaABAg,"As a Rational Indian Muslim who now in the UK, the government, national medias and the Hindutva agents within India also outside India are an embarrassment to us Indians 💔",@tuluva1,11,1746489600,False,
UgwsC1uaNm4xNwstf9h4AaABAg.AHdW5zy7j_2AHdfR6Czxf5,Ameen,@shafkatnabi889,11,1746489600,True,UgwsC1uaNm4xNwstf9h4AaABAg
UgxQomb8A6HOF6XTs894AaABAg,It's all so funny. May Allah Protect the Muslims in India and occupied Kashmir.,@fluffycat3065,11,1746489600,False,
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdVkg5ieDg,"Big talk considering that Gulf Arabs think very little of weak little Pakistan. There's no unity within the Ummah😂

Also Hindu and Greek mythologies are still celebrated to this day.",@SaiMaharaj-vp4yq,10,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgyoMb44vTQD0WwQCvV4AaABAg,The also ban investigation and sharing proof.,@nadak47,10,1746489600,False,
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHe4OJAeO9-, @sal1459 is hinduism meant to be a source of entertainment?😂,@wasif9817,10,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgwEGya2oSwSZ4SzUXV4AaABAg,"Linduvta, 😂😂 Har Har mahagay,  gay hind, gay shree 2gb ram,",@geekybasilempire6874,10,1746489600,False,
UgyXpV80YPK2SpkFOa94AaABAg.AHdTnl56sQRAHdUEIe5N_n,He should be banned by Muslims too,@rali5381,10,1746489600,True,UgyXpV80YPK2SpkFOa94AaABAg
UgxAHpV1HOVTjPhaxgp4AaABAg,2:35 modi bihar jaa sakta hai par kashmir kabhi nai,@Z_X_M87,9,1746489600,False,
UgxABphux3mgSC4fkUF4AaABAg.AHdSmrILFtuAHeA9zSeaBR,Die haben zu viel Urin getrunken 😂,@SchilaEl-Sleiman,9,1746489600,True,UgxABphux3mgSC4fkUF4AaABAg
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHe4IuIj7TQ," @SaiMaharaj-vp4yq anime is influenced by mythology. Its known,whats special about it? Its all fiction. Some games have characters that look exactly like hindu god.(example : smite). You find it respectful that your gods get treated as video game characters? Be serious man.",@wasif9817,9,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgzmKp6cPGBXcIUNj9d4AaABAg.AHdkXaOG_aeAHdkkaFCTAz,what the hell is wrong with lindus.,@MohamadZaidi007,9,1746489600,True,UgzmKp6cPGBXcIUNj9d4AaABAg
UgxABphux3mgSC4fkUF4AaABAg.AHdSmrILFtuAHdrYbet8b0,Exactly 💯 😂😂😂😂,@MustafizulIslam-w2y,9,1746489600,True,UgxABphux3mgSC4fkUF4AaABAg
UgzMC2M5QrG_jCzg5Y94AaABAg,Who actually takes lindus seriously,@chaneladriana6829,9,1746489600,False,
Ugwez_qF79gbN0T7tIl4AaABAg.AHdXe6Cvv7dAHdcXUtaNUY,"India and Pakistan were both created in 1947. While the word ""Hinduism"" was given by Arab travellers.",@saadyousuf6015,9,1746489600,True,Ugwez_qF79gbN0T7tIl4AaABAg
Ugwez_qF79gbN0T7tIl4AaABAg.AHdXe6Cvv7dAHd_E7E3EYB,That crook from Australia 😂😂😂,@Malik-lh4jh,9,1746489600,True,Ugwez_qF79gbN0T7tIl4AaABAg
UgxABphux3mgSC4fkUF4AaABAg.AHdSmrILFtuAHdwh3qrr07,"Even "" Beauty parlour jihaad""  🗣️",@u1_cey,8,1746489600,True,UgxABphux3mgSC4fkUF4AaABAg
UgzxLVFj87QmhQCqVwV4AaABAg,Bro Mohammed Hijab youtube channel  is banned in India 😢,@MustafizulIslam-w2y,8,1746489600,False,
UgwkDKi4oh8QdEe0f-h4AaABAg.AHdUMWNIKD8AHdppE4cjav,"​ @SaiMaharaj-vp4yq  Asuras Wrath is fictional and has nothing to do with Hinduism, only some of the game characters were inspired by Hinduism.",@Rexorazor,8,1746489600,True,UgwkDKi4oh8QdEe0f-h4AaABAg
UgzmKp6cPGBXcIUNj9d4AaABAg.AHdkXaOG_aeAHe9l5Vl18r,@siabed54321  hindutva are loosing their mind 🤣🤣🤣,@sadiqugas8736,8,1746489600,True,UgzmKp6cPGBXcIUNj9d4AaABAg
