id,text,author,likes,timestamp,is_reply,parent_id
UgxoKjATMnc0Kw1OKbp4AaABAg,"I've never BEEN to the North Pole, but I know it's very cold. 😂😂😂",@africareigns,1100,1745280000,False,
Ugw-Q0c9TXFr6gHzhYN4AaABAg,"You know the irony of Murray saying you're not an expert to talk about something? He talked about how bad Islam is, he doesn't any credential in Islamic studies yet he still does talk about it 😂",@Bruddatab,781,1745280000,False,
UgzzO55mo6TGubjzqrZ4AaABAg,"Pro Israel rent boy Murray is an ""expert"", because the IDF took him on a tour of areas they selected. Makes perfect sense...",@theimperialist2686,726,1745280000,False,
UgzMdrWZP7YtQq_dz8t4AaABAg,Dougless Murray is to journalism as Ben Shapiro is to academics,@SSC0002,570,1745280000,False,
UgxEm5XkAEnAtmRqmcx4AaABAg,“You’ve nevah bean!?” Legendary meme potential! 😂,@pdizzle995,299,1745280000,False,
Ugx2JvdL7I07apUimM54AaABAg,But Douglas is criticising islam like he's an alim and talking about the historical issues in the middle east like he has the credentials of Adnan Rashid on the topic.,@muamerblazevic1837,297,1745280000,False,
UgxrEBJ1q2wlVqly-bp4AaABAg,"Douglas murray got destroyed by his own ego, narcissism and not to mention lack of empathy.",@adnanmir2873,250,1745280000,False,
UgyRJSuBkikO02Of_-J4AaABAg,North Korea and Iran. You’re telling me he’s neeevveerr beeeeen thereeee??,@ascorpio1,182,1745280000,False,
Ugyp_LgeaETPJYGHPuF4AaABAg,Douglas Murray has been exposed as the clown that he truly he is. Dude is being a sore loser for losing the debate and constantly putting his own foot in his mouth with everything he said.,@HasmulaBToxic,136,1745280000,False,
UgxoKjATMnc0Kw1OKbp4AaABAg.AH8kXhgQo0xAH8khw_w_eu,You never beeeeen? 🤨🤨,@limbiscuit8020,118,1745280000,True,UgxoKjATMnc0Kw1OKbp4AaABAg
Ugz3EXWNP7HXOO09z9x4AaABAg,I've never BEEN to Jannah. But I know it's real.,@MuhammadSharifOfficial,113,1745280000,False,
