id,text,author,likes,timestamp,is_reply,parent_id
Ugw-xh9XFcTADVD7Et94AaABAg,"The airbase in india which they claimed to have 'destroyed', modi landed on it a few days later with the  supposedly destroyed s400 system in the background 😂",@abhishekpandey3244,804,1747594800,False,
Ugx9CTdHvxpPt-FmKkZ4AaABAg,"We made the evidence public for the mumbai attacks of 2008. Its mastermind still lives a normal life in Pakistan, has a 10 million dollar bounty on him from the United States, appears publicly and is sort of a celebrity there. That's the kind of country we are dealing with here.",@abhishekpandey3244,514,1747594800,False,
UgzrRrNM63qZusQ1Tsl4AaABAg,"a very good sign they got past the pakistan defense, considering it’s mostly chinese tech.",@jabr0n1,360,1747591200,False,
UgxE7ULuJp1cdo8_Mth4AaABAg,Chinese HQ-9 was useless :hand-pink-waving:,@VikasShukla-o4p,357,1747594800,False,
UgyOeL8EOFToC7AYzVJ4AaABAg,The accuracy of Brahmos is just something else,@ojaschahal1599,333,1747594800,False,
UgypWoqYeovTUJQaxBd4AaABAg,"Indian Army was fighting Pakistanis in Pakistan, while Pakistanis were fighting Indians on social media",@kanyeeast-i8f,288,1747594800,False,
UgwgB8iD6UyZ4zh7Xtd4AaABAg,"India showing satellite images
Meanwhile pakistan: we hit an s400 using its centre of gravity
Pakistani reps: maybe if we speak technical english words, our citizens will think we actually managed to do something 🤣",@Rana14796,268,1747594800,False,
Ugx2JvbZeKKlL5QwJd14AaABAg,Who would have thought that having chinese air defences would be effective 😂😂,@oneno-l8p,187,1747591200,False,
Ugw65p5Vb83-X0vTOqd4AaABAg,"Indian proofs: Satellite Images
Pakistan Proof: Star War Clips, CeNtEr oF GraVitY, and ""Social Media""",@Vinay_Thakur108,185,1747591200,False,
Ugzaj2FP_Zt1PTszDIp4AaABAg,You're quoting NYT? These guys didn't even called the Pahalgam massacre a terrorists attact.,@wisemanm6390,174,1747594800,False,
UgyHINGZAX3LF5A6pYt4AaABAg,Damn the HQ-9 ain't shit,@samjaboy9756,166,1747591200,False,
Ugyo5dcFdbEcL2Gp9RJ4AaABAg,Pakistan's ex - air marshal  just confirmed that they have lost a awac which cost nearly 200mil dollars and 1-2 f16 were also in the hangar,@PHOENIXFTW.,145,1747594800,False,
UgwFDEqbqmw1m30c2at4AaABAg,The Brahmos missile is goat level 🐐,@MrWestsideconnexion,130,1747591200,False,
Ugw-xh9XFcTADVD7Et94AaABAg.AIH07vXj1mrAIH22SG0Jj5, @riz4584  Paaaijaan it's all about centre of gravity... You destroyed 5 UFO also.... 😂😂😂😂,@marlborostag,117,1747594800,True,Ugw-xh9XFcTADVD7Et94AaABAg
UgzGBlbLEG6JdBzZ0J54AaABAg,"The Indian media is saying that Rafales they thought they shot down were decoys used to locate their anti aircraft guns and missile systems. Once they were exposed, they were destroyed. This is why the Indian military was neither admitting nor denying that the aircrafts were shot down. They were still at war. Please see Michael Spencer's interviews where he call India's operation, Brilliant"".",@kalm152000,106,1747594800,False,
UgzAVC8kHdgpT3-geQl4AaABAg,"India - shows the satellite imagery and data, video graphic and recordings
Pakistan - "" it's all over social media"" Paaijaan...",@DeepakVats-g4s,101,1747591200,False,
UgybDzFs7jMRlYtme_94AaABAg,Pakistan ex air Marshal confirm that an saab awaecs was bit at bholari airbase,@kamleshgocher2885,99,1747594800,False,
UgzH9nbQH1yKSSgqyc94AaABAg,"It seems Pakistanis are calculating center of gravity based on assumption that the Earth is flat.😂
Modi jee with S400 after pakistans false claim that they destroyed it. 🤣",@vinayak_raj,96,1747594800,False,
Ugw-s8KEAiWHP0U-hKN4AaABAg,"India proofs-satellite images
Pakistan proofs-its all over social media",@aviralarpan7350,89,1747591200,False,
Ugxz_Qd4coFwqsamMl14AaABAg,"It is a no solution equation. This cycle will repeat again. Until something drastic has changed in Pakistan. Until millitary stops interfering and initiating coups against elected members.

The most shocking things is there have been no PM of Pakistan who has completed full term.",@geliete2252,83,1747594800,False,
UgyIqp0Uh-zhSy5Gk7R4AaABAg,"India does 100 says 60, Pak loses battle celebrates victory ✌️. Anyways Happy Birthday Balochistan 🎂",@WhisperingMonks,74,1747591200,False,
UgxsDut6gu7qvuME2EN4AaABAg,They said they shot down 6 french rafales & i didn't see even one good photo of Rafale or the dead pilot,@kanyeeast-i8f,73,1747594800,False,
UgzrRrNM63qZusQ1Tsl4AaABAg.AIGzi5r62gsAIH-b-L1M4O,"@  bro what? india got past pakistans air defenses. those air defenses are provided by china. that proves chinese tech may be worse than expected. yeah supposedly pak used chinese jets to down french jets, but that’s not what i’m talking about. and that’s not confirmed to my knowledge. india giving chinese air defenses the slip is however, confirmed. so NO, chinese tech hasn’t beat them. at best it’s even.",@jabr0n1,69,1747591200,True,UgzrRrNM63qZusQ1Tsl4AaABAg
UgwH28zXqSJFZwfTCDV4AaABAg,India❤,@ChemistryWithJanaSir,64,1747591200,False,
UgzQX8QIwILafI7YBnp4AaABAg,"On a side note, very very few countries have the ability to perform precision strikes like this, not even China has proven that they can.",@xijinpig8982,63,1747594800,False,
UgztL7uB2Q-RtdRF0Qh4AaABAg,Center of gravity ..... Center of mass 😂😂,@akshaynyaharkar,62,1747594800,False,
UgyxzkjAP4J3NZ67Z9F4AaABAg,They are all pinpoint accuracy,@kangkandas1349,59,1747594800,False,
Ugw-xh9XFcTADVD7Et94AaABAg.AIH07vXj1mrAIH1odHhhvf,"Funny thing is Pakistan claimed to destroy the main search radar

And Indians showed the launcher as proof 😂😂",@QasimAli-to5lk,59,1747594800,True,Ugw-xh9XFcTADVD7Et94AaABAg
UgyHINGZAX3LF5A6pYt4AaABAg.AIH-IO3O7F4AIH-funxn_t,Well it was Chinese after all lol,@Bossman-z5z,57,1747591200,True,UgyHINGZAX3LF5A6pYt4AaABAg
Ugx9CTdHvxpPt-FmKkZ4AaABAg.AIH0hVq05YlAIH4M1A9WH6,​ @JaKingScomez well then just don't talk about us. It is a video about india and pakistan what did you think the discussion was going to be about? Trump tariffs 😂,@abhishekpandey3244,54,1747594800,True,Ugx9CTdHvxpPt-FmKkZ4AaABAg
UgyfPM41_E6qY4cCvKF4AaABAg,Not a fan of Pakistan.,@manwithnoname3454,52,1747594800,False,
Ugwkv8BplPOyYvYKHYN4AaABAg,"The Pakistanis were celebrating Victory after the ceasefire, as requested by Pakistan itself",@kanyeeast-i8f,52,1747594800,False,
UgzrRrNM63qZusQ1Tsl4AaABAg.AIGzi5r62gsAIH02zEWUII, @YaskaHaji23  how? on social media 🤣🤣,@vijityadav13,51,1747594800,True,UgzrRrNM63qZusQ1Tsl4AaABAg
Ugw-xh9XFcTADVD7Et94AaABAg.AIH07vXj1mrAIH3Dtwjbeh, @riz4584  But where was center of gravity paijaan ?? 💦💦,@venomff8390,44,1747594800,True,Ugw-xh9XFcTADVD7Et94AaABAg
Ugxcca0QAZJcQ98ezgp4AaABAg,Pakistan knew where bin Laden was .,@freefallu,41,1747594800,False,
UgzYW3QUfcAnhrVjd6t4AaABAg,"India uses Lakshya decoy planes with signatures of Rafale, Sukhoi and others.  When targeted beyond visual range, you don't know what you are actually striking.  Pakistan claimed multiple hits, but they were most likely Indian decoys designed to gauge the Chinese tech used by Pakistan.  India was lucky enough to gather almost intact Chinese and Turkish weaponry.",@AO-xd2ml,40,1747594800,False,
UgzG8T9_zldFxFrtG0h4AaABAg,No two peoples love talking shit about each other more than them.,@Kenneth_James,39,1747591200,False,
Ugyv_HugwgST3WDVd8F4AaABAg,"India's initial strike against Pakistan was more of a political statement than a military attack wherein they targeted Pakistani terrorist infrastructure without targeting any Pakistani military assets.Since the Pakistanis were well aware that such a strike was forthcoming, they were able to inflict some losses in the first round. But in the second round, when India went in with pure military logic without any political baggage attached by first carrying out SEAD strikes and then going in for precision targeting of military assets, the Pakistanis were left wanting.",@knc2111,37,1747594800,False,
Ugx9CTdHvxpPt-FmKkZ4AaABAg.AIH0hVq05YlAIH3NmRYPT8, @abhishekpandey3244  but now he has 11 less family members. Very sad. I'm personally devastated,@parthaggarwal6419,37,1747594800,True,Ugx9CTdHvxpPt-FmKkZ4AaABAg
Ugw-xh9XFcTADVD7Et94AaABAg.AIH07vXj1mrAIH3n3uIL7i, @QasimAli-to5lk  center of gravity :face-blue-smiling:,@AK-fc5rc,34,1747594800,True,Ugw-xh9XFcTADVD7Et94AaABAg
UgwgB8iD6UyZ4zh7Xtd4AaABAg.AIH0JkcoZ3hAIH1ICclB35,Using centre of gravity 😂,@Kandel908,33,1747594800,True,UgwgB8iD6UyZ4zh7Xtd4AaABAg
Ugyva8okjWYBW7_6JSR4AaABAg,"Why is a clear indian superiority over paksitan a problem? Why do you want a forced parity? 

You are worried about the escalation. Why not force pakistan to actually for once give up terrorism and behave like a responsible nation state and mind its own business.",@Mayank.Rungta-r4o,32,1747594800,False,
UgzpD541_fB9SSdBdKB4AaABAg,"Pakistan is run by its military; they have to engage in conflict from time to time to justify their existance. Dear Pak military, leave India alone in peace and go look for fights elsewhere...please.",@bobby-na,30,1747594800,False,
Ugw4g6lbtPP8rDIN0Ah4AaABAg,"I know how the one indian soldier dies, he was working in the hospital at the base when the drone crashed in(the drone was hit by air defense but still fell within the airbase and on top of the building.",@Alphafox2003,29,1747594800,False,
Ugx7FagnjJwePKjRRQ54AaABAg,"India used unmanned dummy jets to show some such as Banshee jet40+ and indigenous lakshya 2 platforms 
To make the enemy think there were too many jets 😂😂😂
Probably they hit a 2 those platforms can be masked 
And indian govt has stated no assets have been lost...😅😅",@TheSomumanna,29,1747594800,False,
UgzRTDzj3zRENn1G_P54AaABAg,Media on each side lies… Satellite IMAGES Don’t.,@Reative8,29,1747594800,False,
UgwFDEqbqmw1m30c2at4AaABAg.AIGzf2MkZvIAIH-vSX6EU3,​ @YaskaHaji23 It is. Lol,@direwolf7491,29,1747594800,True,UgwFDEqbqmw1m30c2at4AaABAg
Ugx9CTdHvxpPt-FmKkZ4AaABAg.AIH0hVq05YlAIH4f7kWg5-, @JaKingScomez  Who tf are you??,@byron2477,28,1747594800,True,Ugx9CTdHvxpPt-FmKkZ4AaABAg
UgyOeL8EOFToC7AYzVJ4AaABAg.AIH0nSPqmmPAIH6bHCBBWl,"​ @byron2477 😂 new brahmos is almost all Indian, new variations coming out too",@AlmightGaming,28,1747598400,True,UgyOeL8EOFToC7AYzVJ4AaABAg
UgzrRrNM63qZusQ1Tsl4AaABAg.AIGzi5r62gsAIH0Ya1BMpx," @vemaraju  yeah dude of course they aren’t immune to missiles. all i’m saying is from what i’ve heard, those air kills aren’t confirmed.",@jabr0n1,27,1747594800,True,UgzrRrNM63qZusQ1Tsl4AaABAg
